Start,-0.8093622,-0.05332851,0.3629224,-0.8090193,-0.2379883,0.3415205,-0.808983,-0.3865351,0.3460228,-0.7926844,-0.6117817,0.3592172,-0.7603865,-0.572218,0.3591917,-0.61821,-0.5278269,0.3608201,-0.5700446,-0.2556969,0.4416752,-0.5632674,-0.03651797,0.3400817,-0.541918,0.06140859,0.3447587,-0.5859298,0.1600357,0.3129399,-0.6092167,0.09719011,0.3223588,-0.830328,-0.5767786,0.3570685,-0.9671537,-0.5693023,0.357847,-1.247894,-0.5930237,0.275985,-1.280451,-0.7971597,0.1449766,-1.289604,-0.9041668,0.1566806,-1.286681,-1.007622,0.1174848,-1.216121,-0.9280087,0.1086473,-0.7143577,-0.05327353,0.36397,-0.7180845,0.3565294,0.4417932,-0.7246497,0.7396651,0.5517666,-0.6996945,0.848163,0.3914225,-0.8950318,-0.05337809,0.3619776,-0.8698114,0.3578396,0.4244139,-0.840894,0.7433359,0.5377619,-0.859184,0.8347719,0.3842673,-0.7861606,-0.6961647,0.3501728,-0.7853832,-0.6706756,0.1846902,-0.7594191,-0.7190959,0.2042556,-0.7004085,-0.7549713,0.31686,-0.8135366,-0.7134523,0.2015362,-0.8732908,-0.7547101,0.3171456,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588,-98.25379,0,-329.588
Idle,-0.786508,-0.04834294,0.3667555,-0.7870134,-0.2317321,0.3525438,-0.787858,-0.3787413,0.3559399,-0.7967252,-0.6024048,0.3564239,-0.7605628,-0.567129,0.3577344,-0.6200605,-0.52261,0.3577254,-0.5515822,-0.2527111,0.4180689,-0.5210125,-0.02914685,0.3388972,-0.5561779,0.06355882,0.3338435,-0.5937949,0.168242,0.3399851,-0.6114831,0.07037869,0.3101385,-0.8298627,-0.563767,0.3571186,-0.9504381,-0.5018096,0.3543901,-0.9983368,-0.2227119,0.4183187,-0.9970245,0.002722964,0.3298998,-1.010337,0.1081892,0.318651,-0.9733403,0.2112266,0.3210695,-0.9561507,0.133128,0.2975514,-0.6925403,-0.0488183,0.3695469,-0.6281234,0.3543727,0.4299834,-0.5740662,0.7208012,0.5656676,-0.5377725,0.8253238,0.4073486,-0.8712426,-0.04791428,0.3642378,-0.9078935,0.359472,0.4161205,-0.9289445,0.7433304,0.5214908,-0.9622192,0.8346654,0.3727262,-0.7998948,-0.6854525,0.3427799,-0.76445,-0.6523906,0.1843553,-0.7432119,-0.7013064,0.2064104,-0.7096695,-0.7424168,0.3258612,-0.794991,-0.6953281,0.1926637,-0.8768773,-0.7413057,0.2897649,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302,-228.6842,0,-766.9302
Pose 1,-0.7816822,-0.04581745,0.3474634,-0.7858628,-0.2282496,0.3480425,-0.7908919,-0.3724462,0.369592,-0.7933455,-0.5889365,0.4189739,-0.7585006,-0.5534477,0.4126606,-0.6142576,-0.5616219,0.3901494,-0.4595265,-0.5459396,0.1541281,-0.4399105,-0.6116735,-0.07297206,-0.425406,-0.6274079,-0.1691117,-0.396511,-0.6177137,-0.2753491,-0.4693692,-0.6082868,-0.192486,-0.8273081,-0.552406,0.4110634,-0.9590173,-0.5626419,0.3857248,-1.055917,-0.520586,0.1177938,-1.015223,-0.5835956,-0.1104343,-1.016606,-0.6271077,-0.2071354,-1.000973,-0.6422837,-0.3135648,-0.9648304,-0.6289618,-0.2314882,-0.6887514,-0.04792294,0.3550625,-0.6247832,0.3540862,0.399452,-0.5752737,0.7096992,0.5551195,-0.5467583,0.8236474,0.4037249,-0.865482,-0.04391884,0.3406112,-0.910043,0.3604115,0.3835568,-0.9356093,0.7339339,0.5108771,-0.9653291,0.833315,0.3683238,-0.7939918,-0.6723395,0.4239342,-0.7789177,-0.6423221,0.2630434,-0.7633873,-0.6942533,0.281472,-0.7194074,-0.7429559,0.3933091,-0.8144505,-0.6792728,0.2761781,-0.8861313,-0.712554,0.384409,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5,-405.4612,0,-1361.5
Pose 2,-0.7727345,-0.05270204,0.3616748,-0.7791191,-0.2349315,0.3594301,-0.7855342,-0.3793199,0.3785033,-0.7962215,-0.5998465,0.4008293,-0.7602405,-0.5649845,0.4009833,-0.617974,-0.5349641,0.3865204,-0.480761,-0.2983997,0.3158569,-0.5420032,-0.253349,0.0913074,-0.5594881,-0.2521693,-0.005544186,-0.5841272,-0.2510084,-0.1132011,-0.616023,-0.2663082,-0.004354954,-0.8287198,-0.5616137,0.3954344,-0.9523681,-0.5199651,0.3630974,-1.03179,-0.3044114,0.1897206,-0.9216196,-0.2353463,-0.01208878,-0.8755122,-0.2063107,-0.1029835,-0.824735,-0.1946677,-0.1982288,-0.8124945,-0.2042776,-0.06855798,-0.6797901,-0.05603291,0.3677206,-0.6174321,0.3463181,0.408556,-0.5695598,0.7068792,0.552211,-0.5440493,0.8296806,0.4075181,-0.8565465,-0.04969844,0.3562231,-0.9051545,0.3544513,0.3934026,-0.9295586,0.7305374,0.5122764,-0.9623578,0.8357981,0.374862,-0.7991567,-0.6831213,0.3955235,-0.7792484,-0.6707248,0.2329607,-0.7593678,-0.7180976,0.2581344,-0.7162607,-0.748237,0.3765574,-0.8113446,-0.7095073,0.2491579,-0.8844669,-0.7374652,0.357815,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166,-433.8328,0,-1458.166
